qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst
22,122,27,10,8,117,115
22,119,14,12,12,116,116
22,121,26,14,25,118,122
22,126,18,12,24,121,124
16,117,16,4,10,113,115
22,122,16,8,16,116,122
22,121,14,10,14,117,121
22,123,14,14,16,121,124
22,120,13,10,13,114,120
21,118,13,8,12,113,115
21,122,17,14,12,118,116
22,127,31,8,12,114,118
22,118,10,8,9,114,115
22,123,18,14,12,117,116
22,124,20,12,12,118,122
22,118,12,10,16,116,120
22,126,10,12,16,121,128
20,120,10,12,18,117,122
22,117,12,8,12,114,117
21,119,14,12,12,116,117
16,120,17,8,6,115,113
22,126,12,14,8,119,117
20,122,18,14,22,118,122
22,118,14,6,14,111,118
21,127,21,16,13,119,124
22,120,25,12,6,117,119
21,122,18,11,16,116,119
22,120,16,10,10,114,114
22,121,13,8,12,118,119
22,121,12,6,12,119,121
18,119,15,12,14,115,117
22,120,25,10,22,117,122
22,121,21,10,10,116,116
22,123,18,10,18,117,117
22,122,16,8,8,116,122
22,119,14,14,14,119,119
21,127,21,12,8,119,115
22,119,12,12,11,116,117
22,122,16,18,15,120,121
22,120,25,10,12,117,119
22,121,16,8,16,115,121
22,118,14,12,14,115,118
22,121,21,10,10,116,116
22,120,14,10,6,112,120
22,119,12,12,16,119,117
22,118,13,6,13,113,118
22,122,14,10,10,119,119
20,118,14,12,14,115,118
22,118,10,10,10,117,120
22,126,12,10,12,116,116
22,126,22,10,14,115,117
22,121,10,12,14,118,125
16,117,8,6,10,115,117
18,117,14,12,16,116,119
22,123,10,8,12,118,120
22,124,17,12,14,117,120
22,119,16,8,22,116,122
21,120,14,8,14,114,120
22,118,12,8,12,114,118
21,124,19,14,14,118,121
20,126,20,10,26,121,125
22,127,31,8,27,116,121
20,119,4,6,4,114,112
22,118,14,6,12,116,116
22,126,19,10,12,116,116
21,117,22,6,22,115,117
18,121,18,10,14,116,118
22,122,14,7,21,117,121
20,126,22,14,22,120,125
21,123,8,8,10,113,117
20,123,16,10,14,114,117
22,121,16,12,13,116,119
18,119,16,14,12,117,116
20,120,14,10,14,115,117
21,123,18,10,14,116,117
17,119,16,14,14,119,122
20,124,18,14,22,120,122
22,121,14,8,14,117,122
22,116,10,6,10,115,117
22,123,20,12,12,120,122
22,118,14,12,17,116,119
18,124,18,16,20,118,122
16,122,14,10,13,115,119
22,117,21,4,10,113,114
22,118,14,12,14,117,119
21,118,14,12,14,116,118
22,119,14,6,14,113,119
22,119,12,6,17,113,117
22,118,12,8,12,114,118
20,120,16,14,14,119,122
22,117,10,6,10,114,117
21,123,17,11,12,116,118
22,119,14,14,18,118,121
21,128,33,10,10,115,116
18,115,12,12,12,114,117
22,121,10,14,14,118,120
22,122,27,10,26,115,121
21,121,16,14,20,119,121
22,117,16,4,10,113,112
22,119,7,10,4,115,115
22,121,16,12,10,115,116
22,121,23,7,20,116,118
22,120,13,8,10,114,116
22,118,12,12,24,117,116
22,119,14,8,12,117,119
22,120,18,10,14,114,120
21,129,18,12,14,117,119
18,119,14,14,12,117,116
21,127,13,14,8,120,115
22,121,23,7,20,116,118
22,119,23,7,12,114,119
22,118,22,8,6,114,111
20,126,22,14,26,120,125
22,120,22,8,6,115,113
22,121,15,8,12,112,118
22,122,27,8,14,114,116
22,123,8,8,8,117,123
22,119,14,14,21,119,119
20,122,16,14,14,117,117
22,124,12,12,14,120,122
