qiskit,shp_reduced,shp,random,random_reduced,mst,mst_reduced,linear,linear_reduced,graycode_reduced,qiskit_dense,multiedge_dense,multiedge
2036,103,3241,3259,151,3234,113,3257,164,140,131,343,135
2036,125,3251,3272,195,3244,133,3258,135,120,128,367,126
2036,116,3249,3287,130,3245,124,3262,127,145,138,321,120
2036,114,3248,3270,165,3240,121,3269,145,133,130,357,137
2036,107,3246,3257,145,3235,120,3251,123,117,104,334,160
2036,129,3255,3288,169,3246,121,3279,155,147,146,350,150
2036,120,3242,3281,160,3232,105,3265,138,121,141,344,142
2036,116,3233,3267,175,3223,98,3252,142,129,113,343,135
2036,103,3244,3271,193,3237,108,3284,150,170,130,349,145
2036,106,3246,3282,156,3239,107,3281,153,127,110,369,164
2036,103,3246,3273,175,3242,120,3264,139,129,142,370,134
1988,107,3243,3277,178,3237,124,3266,132,142,135,314,136
2036,97,3230,3247,186,3226,93,3244,141,94,100,357,131
2036,124,3249,3290,150,3235,110,3259,109,148,142,356,149
2032,103,3239,3269,169,3238,116,3272,140,136,130,320,154
2036,101,3243,3269,157,3241,107,3260,127,119,136,361,130
2036,97,3243,3259,189,3235,94,3264,132,109,137,306,128
2036,100,3248,3277,185,3238,120,3261,152,130,140,384,143
2036,103,3248,3275,210,3240,143,3268,132,124,133,372,152
2036,106,3241,3266,170,3238,125,3275,181,156,159,368,149
2036,103,3241,3267,150,3237,107,3255,124,122,124,350,141
2036,124,3241,3280,195,3237,101,3265,128,159,143,357,148
2036,110,3246,3284,161,3238,122,3261,128,151,133,367,154
2036,123,3242,3293,149,3237,107,3275,161,137,129,374,154
2036,102,3234,3268,151,3224,111,3261,187,172,167,353,156
2036,103,3245,3267,162,3237,120,3286,147,146,139,336,128
2036,111,3247,3274,160,3243,125,3258,146,140,127,357,126
2036,99,3241,3270,154,3237,98,3261,135,137,126,310,128
2036,94,3246,3256,185,3234,126,3257,114,123,125,352,136
2036,112,3244,3283,159,3235,131,3266,126,99,114,353,148
2036,119,3243,3256,165,3234,131,3246,114,129,107,324,128
2036,89,3233,3274,171,3227,95,3249,114,107,146,349,121
2036,97,3239,3272,146,3233,103,3273,137,132,126,323,134
2036,113,3239,3258,184,3234,114,3274,138,169,127,365,121
2036,120,3253,3282,149,3241,122,3262,130,131,161,336,151
2036,115,3239,3264,159,3237,137,3252,130,121,185,413,117
1886,113,3239,3269,156,3232,105,3248,114,114,129,396,134
1956,111,3234,3276,183,3229,97,3259,133,109,138,358,116
2036,116,3250,3279,158,3241,130,3265,130,135,143,426,135
